BRC Query: Medium,Points,# Of Points
"[4, 11, 10, 17]","[(4, 11), (5, 11), (6, 11), (7, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15), (6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (6, 15), (7, 14), (7, 15), (8, 11), (9, 11), (10, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (8, 15), (9, 14), (9, 15), (10, 12), (10, 13), (10, 14), (10, 15), (4, 16), (4, 17), (5, 16), (5, 17), (6, 16), (6, 17), (7, 16), (7, 17), (8, 16), (8, 17), (9, 16), (9, 17), (10, 16), (10, 17)]",49
"[11, 9, 17, 15]","[(11, 9), (11, 10), (11, 11), (11, 12), (11, 13), (11, 14), (11, 15), (12, 9), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11), (14, 9), (15, 9), (14, 10), (14, 11), (15, 10), (15, 11), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 12), (14, 13), (15, 12), (15, 13), (14, 14), (14, 15), (15, 14), (15, 15), (16, 9), (17, 9), (16, 10), (16, 11), (17, 10), (17, 11), (16, 12), (16, 13), (17, 12), (17, 13), (16, 14), (16, 15), (17, 14), (17, 15)]",49
"[20, 9, 26, 15]","[(20, 9), (21, 9), (20, 10), (20, 11), (21, 10), (21, 11), (22, 9), (23, 9), (22, 10), (22, 11), (23, 10), (23, 11), (20, 12), (20, 13), (21, 12), (21, 13), (20, 14), (20, 15), (21, 14), (21, 15), (22, 12), (22, 13), (23, 12), (23, 13), (22, 14), (22, 15), (23, 14), (23, 15), (24, 9), (25, 9), (24, 10), (24, 11), (25, 10), (25, 11), (26, 9), (26, 10), (26, 11), (24, 12), (24, 13), (25, 12), (25, 13), (24, 14), (24, 15), (25, 14), (25, 15), (26, 12), (26, 13), (26, 14), (26, 15)]",49
"[10, 15, 16, 21]","[(10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (10, 16), (10, 17), (11, 16), (11, 17), (10, 18), (10, 19), (11, 18), (11, 19), (10, 20), (10, 21), (11, 20), (11, 21), (12, 16), (12, 17), (13, 16), (13, 17), (12, 18), (12, 19), (13, 18), (13, 19), (14, 16), (14, 17), (15, 16), (15, 17), (14, 18), (14, 19), (15, 18), (15, 19), (12, 20), (12, 21), (13, 20), (13, 21), (14, 20), (14, 21), (15, 20), (15, 21), (16, 15), (16, 16), (16, 17), (16, 18), (16, 19), (16, 20), (16, 21)]",49
"[25, 12, 31, 18]","[(25, 12), (25, 13), (25, 14), (25, 15), (26, 12), (26, 13), (27, 12), (27, 13), (26, 14), (26, 15), (27, 14), (27, 15), (28, 12), (28, 13), (29, 12), (29, 13), (28, 14), (28, 15), (29, 14), (29, 15), (30, 12), (30, 13), (31, 12), (31, 13), (30, 14), (30, 15), (31, 14), (31, 15), (25, 16), (25, 17), (25, 18), (26, 16), (26, 17), (27, 16), (27, 17), (26, 18), (27, 18), (28, 16), (28, 17), (29, 16), (29, 17), (28, 18), (29, 18), (30, 16), (30, 17), (31, 16), (31, 17), (30, 18), (31, 18)]",49
"[19, 13, 25, 19]","[(19, 13), (19, 14), (19, 15), (20, 13), (21, 13), (20, 14), (20, 15), (21, 14), (21, 15), (22, 13), (23, 13), (22, 14), (22, 15), (23, 14), (23, 15), (24, 13), (25, 13), (24, 14), (24, 15), (25, 14), (25, 15), (19, 16), (19, 17), (19, 18), (19, 19), (20, 16), (20, 17), (21, 16), (21, 17), (20, 18), (20, 19), (21, 18), (21, 19), (22, 16), (22, 17), (23, 16), (23, 17), (22, 18), (22, 19), (23, 18), (23, 19), (24, 16), (24, 17), (25, 16), (25, 17), (24, 18), (24, 19), (25, 18), (25, 19)]",49
"[5, 0, 11, 6]","[(5, 0), (5, 1), (5, 2), (5, 3), (6, 0), (6, 1), (7, 0), (7, 1), (6, 2), (6, 3), (7, 2), (7, 3), (5, 4), (5, 5), (5, 6), (6, 4), (6, 5), (7, 4), (7, 5), (6, 6), (7, 6), (8, 0), (8, 1), (9, 0), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (10, 0), (10, 1), (11, 0), (11, 1), (10, 2), (10, 3), (11, 2), (11, 3), (8, 4), (8, 5), (9, 4), (9, 5), (8, 6), (9, 6), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (11, 6)]",49
"[25, 4, 31, 10]","[(25, 4), (25, 5), (25, 6), (25, 7), (26, 4), (26, 5), (27, 4), (27, 5), (26, 6), (26, 7), (27, 6), (27, 7), (28, 4), (28, 5), (29, 4), (29, 5), (28, 6), (28, 7), (29, 6), (29, 7), (30, 4), (30, 5), (31, 4), (31, 5), (30, 6), (30, 7), (31, 6), (31, 7), (25, 8), (25, 9), (25, 10), (26, 8), (26, 9), (27, 8), (27, 9), (26, 10), (27, 10), (28, 8), (28, 9), (29, 8), (29, 9), (28, 10), (29, 10), (30, 8), (30, 9), (31, 8), (31, 9), (30, 10), (31, 10)]",49
"[18, 1, 24, 7]","[(18, 1), (19, 1), (18, 2), (18, 3), (19, 2), (19, 3), (18, 4), (18, 5), (19, 4), (19, 5), (18, 6), (18, 7), (19, 6), (19, 7), (20, 1), (21, 1), (20, 2), (20, 3), (21, 2), (21, 3), (22, 1), (23, 1), (22, 2), (22, 3), (23, 2), (23, 3), (20, 4), (20, 5), (21, 4), (21, 5), (20, 6), (20, 7), (21, 6), (21, 7), (22, 4), (22, 5), (23, 4), (23, 5), (22, 6), (22, 7), (23, 6), (23, 7), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5), (24, 6), (24, 7)]",49
"[14, 4, 20, 10]","[(14, 4), (14, 5), (15, 4), (15, 5), (14, 6), (14, 7), (15, 6), (15, 7), (14, 8), (14, 9), (15, 8), (15, 9), (14, 10), (15, 10), (16, 4), (16, 5), (17, 4), (17, 5), (16, 6), (16, 7), (17, 6), (17, 7), (18, 4), (18, 5), (19, 4), (19, 5), (18, 6), (18, 7), (19, 6), (19, 7), (20, 4), (20, 5), (20, 6), (20, 7), (16, 8), (16, 9), (17, 8), (17, 9), (16, 10), (17, 10), (18, 8), (18, 9), (19, 8), (19, 9), (18, 10), (19, 10), (20, 8), (20, 9), (20, 10)]",49
"[10, 0, 16, 6]","[(10, 0), (10, 1), (11, 0), (11, 1), (10, 2), (10, 3), (11, 2), (11, 3), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (11, 6), (12, 0), (12, 1), (13, 0), (13, 1), (12, 2), (12, 3), (13, 2), (13, 3), (14, 0), (14, 1), (15, 0), (15, 1), (14, 2), (14, 3), (15, 2), (15, 3), (12, 4), (12, 5), (13, 4), (13, 5), (12, 6), (13, 6), (14, 4), (14, 5), (15, 4), (15, 5), (14, 6), (15, 6), (16, 0), (16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (16, 6)]",49
"[23, 15, 29, 21]","[(23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (23, 16), (23, 17), (23, 18), (23, 19), (23, 20), (23, 21), (24, 16), (24, 17), (25, 16), (25, 17), (24, 18), (24, 19), (25, 18), (25, 19), (26, 16), (26, 17), (27, 16), (27, 17), (26, 18), (26, 19), (27, 18), (27, 19), (24, 20), (24, 21), (25, 20), (25, 21), (26, 20), (26, 21), (27, 20), (27, 21), (28, 16), (28, 17), (29, 16), (29, 17), (28, 18), (28, 19), (29, 18), (29, 19), (28, 20), (28, 21), (29, 20), (29, 21)]",49
"[21, 26, 27, 32]","[(21, 26), (21, 27), (22, 26), (22, 27), (23, 26), (23, 27), (21, 28), (21, 29), (21, 30), (21, 31), (22, 28), (22, 29), (23, 28), (23, 29), (22, 30), (22, 31), (23, 30), (23, 31), (24, 26), (24, 27), (25, 26), (25, 27), (26, 26), (26, 27), (27, 26), (27, 27), (24, 28), (24, 29), (25, 28), (25, 29), (24, 30), (24, 31), (25, 30), (25, 31), (26, 28), (26, 29), (27, 28), (27, 29), (26, 30), (26, 31), (27, 30), (27, 31)]",42
"[21, 24, 27, 30]","[(21, 24), (21, 25), (21, 26), (21, 27), (22, 24), (22, 25), (23, 24), (23, 25), (22, 26), (22, 27), (23, 26), (23, 27), (21, 28), (21, 29), (21, 30), (22, 28), (22, 29), (23, 28), (23, 29), (22, 30), (23, 30), (24, 24), (24, 25), (25, 24), (25, 25), (24, 26), (24, 27), (25, 26), (25, 27), (26, 24), (26, 25), (27, 24), (27, 25), (26, 26), (26, 27), (27, 26), (27, 27), (24, 28), (24, 29), (25, 28), (25, 29), (24, 30), (25, 30), (26, 28), (26, 29), (27, 28), (27, 29), (26, 30), (27, 30)]",49
"[8, 23, 14, 29]","[(8, 23), (9, 23), (10, 23), (11, 23), (12, 23), (13, 23), (14, 23), (8, 24), (8, 25), (9, 24), (9, 25), (8, 26), (8, 27), (9, 26), (9, 27), (10, 24), (10, 25), (11, 24), (11, 25), (10, 26), (10, 27), (11, 26), (11, 27), (8, 28), (8, 29), (9, 28), (9, 29), (10, 28), (10, 29), (11, 28), (11, 29), (12, 24), (12, 25), (13, 24), (13, 25), (12, 26), (12, 27), (13, 26), (13, 27), (14, 24), (14, 25), (14, 26), (14, 27), (12, 28), (12, 29), (13, 28), (13, 29), (14, 28), (14, 29)]",49
"[19, 6, 25, 12]","[(19, 6), (19, 7), (20, 6), (20, 7), (21, 6), (21, 7), (22, 6), (22, 7), (23, 6), (23, 7), (19, 8), (19, 9), (19, 10), (19, 11), (19, 12), (20, 8), (20, 9), (21, 8), (21, 9), (20, 10), (20, 11), (21, 10), (21, 11), (22, 8), (22, 9), (23, 8), (23, 9), (22, 10), (22, 11), (23, 10), (23, 11), (20, 12), (21, 12), (22, 12), (23, 12), (24, 6), (24, 7), (25, 6), (25, 7), (24, 8), (24, 9), (25, 8), (25, 9), (24, 10), (24, 11), (25, 10), (25, 11), (24, 12), (25, 12)]",49
"[2, 17, 8, 23]","[(2, 17), (3, 17), (2, 18), (2, 19), (3, 18), (3, 19), (2, 20), (2, 21), (3, 20), (3, 21), (2, 22), (2, 23), (3, 22), (3, 23), (4, 17), (5, 17), (4, 18), (4, 19), (5, 18), (5, 19), (6, 17), (7, 17), (6, 18), (6, 19), (7, 18), (7, 19), (4, 20), (4, 21), (5, 20), (5, 21), (4, 22), (4, 23), (5, 22), (5, 23), (6, 20), (6, 21), (7, 20), (7, 21), (6, 22), (6, 23), (7, 22), (7, 23), (8, 17), (8, 18), (8, 19), (8, 20), (8, 21), (8, 22), (8, 23)]",49
"[13, 8, 19, 14]","[(13, 8), (13, 9), (13, 10), (13, 11), (14, 8), (14, 9), (15, 8), (15, 9), (14, 10), (14, 11), (15, 10), (15, 11), (13, 12), (13, 13), (13, 14), (14, 12), (14, 13), (15, 12), (15, 13), (14, 14), (15, 14), (16, 8), (16, 9), (17, 8), (17, 9), (16, 10), (16, 11), (17, 10), (17, 11), (18, 8), (18, 9), (19, 8), (19, 9), (18, 10), (18, 11), (19, 10), (19, 11), (16, 12), (16, 13), (17, 12), (17, 13), (16, 14), (17, 14), (18, 12), (18, 13), (19, 12), (19, 13), (18, 14), (19, 14)]",49
"[26, 5, 32, 11]","[(26, 5), (27, 5), (26, 6), (26, 7), (27, 6), (27, 7), (28, 5), (29, 5), (28, 6), (28, 7), (29, 6), (29, 7), (30, 5), (31, 5), (30, 6), (30, 7), (31, 6), (31, 7), (26, 8), (26, 9), (27, 8), (27, 9), (26, 10), (26, 11), (27, 10), (27, 11), (28, 8), (28, 9), (29, 8), (29, 9), (28, 10), (28, 11), (29, 10), (29, 11), (30, 8), (30, 9), (31, 8), (31, 9), (30, 10), (30, 11), (31, 10), (31, 11)]",42
"[16, 5, 22, 11]","[(16, 5), (17, 5), (16, 6), (16, 7), (17, 6), (17, 7), (18, 5), (19, 5), (18, 6), (18, 7), (19, 6), (19, 7), (20, 5), (21, 5), (20, 6), (20, 7), (21, 6), (21, 7), (22, 5), (22, 6), (22, 7), (16, 8), (16, 9), (17, 8), (17, 9), (16, 10), (16, 11), (17, 10), (17, 11), (18, 8), (18, 9), (19, 8), (19, 9), (18, 10), (18, 11), (19, 10), (19, 11), (20, 8), (20, 9), (21, 8), (21, 9), (20, 10), (20, 11), (21, 10), (21, 11), (22, 8), (22, 9), (22, 10), (22, 11)]",49
"[2, 21, 8, 27]","[(2, 21), (3, 21), (2, 22), (2, 23), (3, 22), (3, 23), (4, 21), (5, 21), (4, 22), (4, 23), (5, 22), (5, 23), (6, 21), (7, 21), (6, 22), (6, 23), (7, 22), (7, 23), (2, 24), (2, 25), (3, 24), (3, 25), (2, 26), (2, 27), (3, 26), (3, 27), (4, 24), (4, 25), (5, 24), (5, 25), (4, 26), (4, 27), (5, 26), (5, 27), (6, 24), (6, 25), (7, 24), (7, 25), (6, 26), (6, 27), (7, 26), (7, 27), (8, 21), (8, 22), (8, 23), (8, 24), (8, 25), (8, 26), (8, 27)]",49
"[20, 5, 26, 11]","[(20, 5), (21, 5), (20, 6), (20, 7), (21, 6), (21, 7), (22, 5), (23, 5), (22, 6), (22, 7), (23, 6), (23, 7), (20, 8), (20, 9), (21, 8), (21, 9), (20, 10), (20, 11), (21, 10), (21, 11), (22, 8), (22, 9), (23, 8), (23, 9), (22, 10), (22, 11), (23, 10), (23, 11), (24, 5), (25, 5), (24, 6), (24, 7), (25, 6), (25, 7), (26, 5), (26, 6), (26, 7), (24, 8), (24, 9), (25, 8), (25, 9), (24, 10), (24, 11), (25, 10), (25, 11), (26, 8), (26, 9), (26, 10), (26, 11)]",49
"[18, 3, 24, 9]","[(18, 3), (19, 3), (18, 4), (18, 5), (19, 4), (19, 5), (18, 6), (18, 7), (19, 6), (19, 7), (20, 3), (21, 3), (22, 3), (23, 3), (20, 4), (20, 5), (21, 4), (21, 5), (20, 6), (20, 7), (21, 6), (21, 7), (22, 4), (22, 5), (23, 4), (23, 5), (22, 6), (22, 7), (23, 6), (23, 7), (18, 8), (18, 9), (19, 8), (19, 9), (20, 8), (20, 9), (21, 8), (21, 9), (22, 8), (22, 9), (23, 8), (23, 9), (24, 3), (24, 4), (24, 5), (24, 6), (24, 7), (24, 8), (24, 9)]",49
"[16, 20, 22, 26]","[(16, 20), (16, 21), (17, 20), (17, 21), (16, 22), (16, 23), (17, 22), (17, 23), (18, 20), (18, 21), (19, 20), (19, 21), (18, 22), (18, 23), (19, 22), (19, 23), (20, 20), (20, 21), (21, 20), (21, 21), (20, 22), (20, 23), (21, 22), (21, 23), (22, 20), (22, 21), (22, 22), (22, 23), (16, 24), (16, 25), (17, 24), (17, 25), (16, 26), (17, 26), (18, 24), (18, 25), (19, 24), (19, 25), (18, 26), (19, 26), (20, 24), (20, 25), (21, 24), (21, 25), (20, 26), (21, 26), (22, 24), (22, 25), (22, 26)]",49
"[25, 17, 31, 23]","[(25, 17), (25, 18), (25, 19), (26, 17), (27, 17), (26, 18), (26, 19), (27, 18), (27, 19), (25, 20), (25, 21), (25, 22), (25, 23), (26, 20), (26, 21), (27, 20), (27, 21), (26, 22), (26, 23), (27, 22), (27, 23), (28, 17), (29, 17), (28, 18), (28, 19), (29, 18), (29, 19), (30, 17), (31, 17), (30, 18), (30, 19), (31, 18), (31, 19), (28, 20), (28, 21), (29, 20), (29, 21), (28, 22), (28, 23), (29, 22), (29, 23), (30, 20), (30, 21), (31, 20), (31, 21), (30, 22), (30, 23), (31, 22), (31, 23)]",49
"[19, 12, 25, 18]","[(19, 12), (19, 13), (19, 14), (19, 15), (20, 12), (20, 13), (21, 12), (21, 13), (20, 14), (20, 15), (21, 14), (21, 15), (22, 12), (22, 13), (23, 12), (23, 13), (22, 14), (22, 15), (23, 14), (23, 15), (24, 12), (24, 13), (25, 12), (25, 13), (24, 14), (24, 15), (25, 14), (25, 15), (19, 16), (19, 17), (19, 18), (20, 16), (20, 17), (21, 16), (21, 17), (20, 18), (21, 18), (22, 16), (22, 17), (23, 16), (23, 17), (22, 18), (23, 18), (24, 16), (24, 17), (25, 16), (25, 17), (24, 18), (25, 18)]",49
"[24, 13, 30, 19]","[(24, 13), (25, 13), (24, 14), (24, 15), (25, 14), (25, 15), (26, 13), (27, 13), (26, 14), (26, 15), (27, 14), (27, 15), (28, 13), (29, 13), (28, 14), (28, 15), (29, 14), (29, 15), (30, 13), (30, 14), (30, 15), (24, 16), (24, 17), (25, 16), (25, 17), (24, 18), (24, 19), (25, 18), (25, 19), (26, 16), (26, 17), (27, 16), (27, 17), (26, 18), (26, 19), (27, 18), (27, 19), (28, 16), (28, 17), (29, 16), (29, 17), (28, 18), (28, 19), (29, 18), (29, 19), (30, 16), (30, 17), (30, 18), (30, 19)]",49
"[8, 9, 14, 15]","[(8, 9), (9, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 9), (11, 9), (10, 10), (10, 11), (11, 10), (11, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (8, 15), (9, 14), (9, 15), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (10, 15), (11, 14), (11, 15), (12, 9), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11), (14, 9), (14, 10), (14, 11), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 12), (14, 13), (14, 14), (14, 15)]",49
"[9, 0, 15, 6]","[(9, 0), (9, 1), (9, 2), (9, 3), (10, 0), (10, 1), (11, 0), (11, 1), (10, 2), (10, 3), (11, 2), (11, 3), (9, 4), (9, 5), (9, 6), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (11, 6), (12, 0), (12, 1), (13, 0), (13, 1), (12, 2), (12, 3), (13, 2), (13, 3), (14, 0), (14, 1), (15, 0), (15, 1), (14, 2), (14, 3), (15, 2), (15, 3), (12, 4), (12, 5), (13, 4), (13, 5), (12, 6), (13, 6), (14, 4), (14, 5), (15, 4), (15, 5), (14, 6), (15, 6)]",49
"[13, 24, 19, 30]","[(13, 24), (13, 25), (13, 26), (13, 27), (14, 24), (14, 25), (15, 24), (15, 25), (14, 26), (14, 27), (15, 26), (15, 27), (13, 28), (13, 29), (13, 30), (14, 28), (14, 29), (15, 28), (15, 29), (14, 30), (15, 30), (16, 24), (16, 25), (17, 24), (17, 25), (16, 26), (16, 27), (17, 26), (17, 27), (18, 24), (18, 25), (19, 24), (19, 25), (18, 26), (18, 27), (19, 26), (19, 27), (16, 28), (16, 29), (17, 28), (17, 29), (16, 30), (17, 30), (18, 28), (18, 29), (19, 28), (19, 29), (18, 30), (19, 30)]",49
"[26, 22, 32, 28]","[(26, 22), (26, 23), (27, 22), (27, 23), (28, 22), (28, 23), (29, 22), (29, 23), (30, 22), (30, 23), (31, 22), (31, 23), (26, 24), (26, 25), (27, 24), (27, 25), (26, 26), (26, 27), (27, 26), (27, 27), (26, 28), (27, 28), (28, 24), (28, 25), (29, 24), (29, 25), (28, 26), (28, 27), (29, 26), (29, 27), (30, 24), (30, 25), (31, 24), (31, 25), (30, 26), (30, 27), (31, 26), (31, 27), (28, 28), (29, 28), (30, 28), (31, 28)]",42
"[8, 8, 14, 14]","[(8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (10, 11), (11, 10), (11, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (9, 14), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (11, 14), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11), (14, 8), (14, 9), (14, 10), (14, 11), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (13, 14), (14, 12), (14, 13), (14, 14)]",49
"[17, 16, 23, 22]","[(17, 16), (17, 17), (17, 18), (17, 19), (18, 16), (18, 17), (19, 16), (19, 17), (18, 18), (18, 19), (19, 18), (19, 19), (17, 20), (17, 21), (17, 22), (18, 20), (18, 21), (19, 20), (19, 21), (18, 22), (19, 22), (20, 16), (20, 17), (21, 16), (21, 17), (20, 18), (20, 19), (21, 18), (21, 19), (22, 16), (22, 17), (23, 16), (23, 17), (22, 18), (22, 19), (23, 18), (23, 19), (20, 20), (20, 21), (21, 20), (21, 21), (20, 22), (21, 22), (22, 20), (22, 21), (23, 20), (23, 21), (22, 22), (23, 22)]",49
"[17, 10, 23, 16]","[(17, 10), (17, 11), (18, 10), (18, 11), (19, 10), (19, 11), (17, 12), (17, 13), (17, 14), (17, 15), (18, 12), (18, 13), (19, 12), (19, 13), (18, 14), (18, 15), (19, 14), (19, 15), (20, 10), (20, 11), (21, 10), (21, 11), (22, 10), (22, 11), (23, 10), (23, 11), (20, 12), (20, 13), (21, 12), (21, 13), (20, 14), (20, 15), (21, 14), (21, 15), (22, 12), (22, 13), (23, 12), (23, 13), (22, 14), (22, 15), (23, 14), (23, 15), (17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16)]",49
"[10, 6, 16, 12]","[(10, 6), (10, 7), (11, 6), (11, 7), (12, 6), (12, 7), (13, 6), (13, 7), (14, 6), (14, 7), (15, 6), (15, 7), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (10, 11), (11, 10), (11, 11), (10, 12), (11, 12), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11), (14, 8), (14, 9), (15, 8), (15, 9), (14, 10), (14, 11), (15, 10), (15, 11), (12, 12), (13, 12), (14, 12), (15, 12), (16, 6), (16, 7), (16, 8), (16, 9), (16, 10), (16, 11), (16, 12)]",49
"[22, 25, 28, 31]","[(22, 25), (23, 25), (22, 26), (22, 27), (23, 26), (23, 27), (22, 28), (22, 29), (23, 28), (23, 29), (22, 30), (22, 31), (23, 30), (23, 31), (24, 25), (25, 25), (24, 26), (24, 27), (25, 26), (25, 27), (26, 25), (27, 25), (26, 26), (26, 27), (27, 26), (27, 27), (24, 28), (24, 29), (25, 28), (25, 29), (24, 30), (24, 31), (25, 30), (25, 31), (26, 28), (26, 29), (27, 28), (27, 29), (26, 30), (26, 31), (27, 30), (27, 31), (28, 25), (28, 26), (28, 27), (28, 28), (28, 29), (28, 30), (28, 31)]",49
"[13, 25, 19, 31]","[(13, 25), (13, 26), (13, 27), (14, 25), (15, 25), (14, 26), (14, 27), (15, 26), (15, 27), (13, 28), (13, 29), (13, 30), (13, 31), (14, 28), (14, 29), (15, 28), (15, 29), (14, 30), (14, 31), (15, 30), (15, 31), (16, 25), (17, 25), (16, 26), (16, 27), (17, 26), (17, 27), (18, 25), (19, 25), (18, 26), (18, 27), (19, 26), (19, 27), (16, 28), (16, 29), (17, 28), (17, 29), (16, 30), (16, 31), (17, 30), (17, 31), (18, 28), (18, 29), (19, 28), (19, 29), (18, 30), (18, 31), (19, 30), (19, 31)]",49
"[4, 0, 10, 6]","[(4, 0), (4, 1), (5, 0), (5, 1), (4, 2), (4, 3), (5, 2), (5, 3), (6, 0), (6, 1), (7, 0), (7, 1), (6, 2), (6, 3), (7, 2), (7, 3), (4, 4), (4, 5), (5, 4), (5, 5), (4, 6), (5, 6), (6, 4), (6, 5), (7, 4), (7, 5), (6, 6), (7, 6), (8, 0), (8, 1), (9, 0), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (10, 0), (10, 1), (10, 2), (10, 3), (8, 4), (8, 5), (9, 4), (9, 5), (8, 6), (9, 6), (10, 4), (10, 5), (10, 6)]",49
"[24, 16, 30, 22]","[(24, 16), (24, 17), (25, 16), (25, 17), (24, 18), (24, 19), (25, 18), (25, 19), (26, 16), (26, 17), (27, 16), (27, 17), (26, 18), (26, 19), (27, 18), (27, 19), (24, 20), (24, 21), (25, 20), (25, 21), (24, 22), (25, 22), (26, 20), (26, 21), (27, 20), (27, 21), (26, 22), (27, 22), (28, 16), (28, 17), (29, 16), (29, 17), (28, 18), (28, 19), (29, 18), (29, 19), (30, 16), (30, 17), (30, 18), (30, 19), (28, 20), (28, 21), (29, 20), (29, 21), (28, 22), (29, 22), (30, 20), (30, 21), (30, 22)]",49
"[4, 25, 10, 31]","[(4, 25), (5, 25), (4, 26), (4, 27), (5, 26), (5, 27), (6, 25), (7, 25), (6, 26), (6, 27), (7, 26), (7, 27), (4, 28), (4, 29), (5, 28), (5, 29), (4, 30), (4, 31), (5, 30), (5, 31), (6, 28), (6, 29), (7, 28), (7, 29), (6, 30), (6, 31), (7, 30), (7, 31), (8, 25), (9, 25), (8, 26), (8, 27), (9, 26), (9, 27), (10, 25), (10, 26), (10, 27), (8, 28), (8, 29), (9, 28), (9, 29), (8, 30), (8, 31), (9, 30), (9, 31), (10, 28), (10, 29), (10, 30), (10, 31)]",49
"[21, 22, 27, 28]","[(21, 22), (21, 23), (22, 22), (22, 23), (23, 22), (23, 23), (21, 24), (21, 25), (21, 26), (21, 27), (22, 24), (22, 25), (23, 24), (23, 25), (22, 26), (22, 27), (23, 26), (23, 27), (21, 28), (22, 28), (23, 28), (24, 22), (24, 23), (25, 22), (25, 23), (26, 22), (26, 23), (27, 22), (27, 23), (24, 24), (24, 25), (25, 24), (25, 25), (24, 26), (24, 27), (25, 26), (25, 27), (26, 24), (26, 25), (27, 24), (27, 25), (26, 26), (26, 27), (27, 26), (27, 27), (24, 28), (25, 28), (26, 28), (27, 28)]",49
"[25, 18, 31, 24]","[(25, 18), (25, 19), (26, 18), (26, 19), (27, 18), (27, 19), (25, 20), (25, 21), (25, 22), (25, 23), (26, 20), (26, 21), (27, 20), (27, 21), (26, 22), (26, 23), (27, 22), (27, 23), (28, 18), (28, 19), (29, 18), (29, 19), (30, 18), (30, 19), (31, 18), (31, 19), (28, 20), (28, 21), (29, 20), (29, 21), (28, 22), (28, 23), (29, 22), (29, 23), (30, 20), (30, 21), (31, 20), (31, 21), (30, 22), (30, 23), (31, 22), (31, 23), (25, 24), (26, 24), (27, 24), (28, 24), (29, 24), (30, 24), (31, 24)]",49
"[12, 11, 18, 17]","[(12, 11), (13, 11), (14, 11), (15, 11), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 12), (14, 13), (15, 12), (15, 13), (14, 14), (14, 15), (15, 14), (15, 15), (12, 16), (12, 17), (13, 16), (13, 17), (14, 16), (14, 17), (15, 16), (15, 17), (16, 11), (17, 11), (18, 11), (16, 12), (16, 13), (17, 12), (17, 13), (16, 14), (16, 15), (17, 14), (17, 15), (18, 12), (18, 13), (18, 14), (18, 15), (16, 16), (16, 17), (17, 16), (17, 17), (18, 16), (18, 17)]",49
"[14, 1, 20, 7]","[(14, 1), (15, 1), (14, 2), (14, 3), (15, 2), (15, 3), (14, 4), (14, 5), (15, 4), (15, 5), (14, 6), (14, 7), (15, 6), (15, 7), (16, 1), (17, 1), (16, 2), (16, 3), (17, 2), (17, 3), (18, 1), (19, 1), (18, 2), (18, 3), (19, 2), (19, 3), (16, 4), (16, 5), (17, 4), (17, 5), (16, 6), (16, 7), (17, 6), (17, 7), (18, 4), (18, 5), (19, 4), (19, 5), (18, 6), (18, 7), (19, 6), (19, 7), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5), (20, 6), (20, 7)]",49
"[17, 13, 23, 19]","[(17, 13), (17, 14), (17, 15), (18, 13), (19, 13), (18, 14), (18, 15), (19, 14), (19, 15), (20, 13), (21, 13), (20, 14), (20, 15), (21, 14), (21, 15), (22, 13), (23, 13), (22, 14), (22, 15), (23, 14), (23, 15), (17, 16), (17, 17), (17, 18), (17, 19), (18, 16), (18, 17), (19, 16), (19, 17), (18, 18), (18, 19), (19, 18), (19, 19), (20, 16), (20, 17), (21, 16), (21, 17), (20, 18), (20, 19), (21, 18), (21, 19), (22, 16), (22, 17), (23, 16), (23, 17), (22, 18), (22, 19), (23, 18), (23, 19)]",49
